0x800000
crt0                        0
maps/offline/ACDC/ACDC_Higsbys/setup 0x2EA3C
maps/offline/ACDC/ACDC_Station/setup 0x2F174
maps/offline/ACDC/ACDC_Secret_Station/setup 0x2F854
maps/offline/ACDC/assets 0x2F994
maps/offline/Govt/exit 0x31050
maps/offline/Govt/anim 0x311A0
maps/offline/Govt/setup 0x31318
maps/offline/Govt/directory 0x313C8
maps/offline/Govt/Govt_Complex_Front/setup 0x3165C
maps/offline/Govt/Govt_Complex_Station/setup 0x32120
maps/offline/Govt/Govt_Waterworks_Lobby/setup 0x32780
maps/offline/Govt/Govt_SciLab_Lobby/setup 0x32ECC
maps/offline/Govt/Govt_Complex_Hallway/setup 0x335E4
maps/offline/Govt/Govt_Yuichiro_Lab/setup 0x336D4
maps/offline/Govt/Govt_Waterworks_Office/setup 0x34008
maps/offline/Govt/Govt_Waterworks_Control_Room/setup 0x34520
maps/offline/Govt/Govt_Waterworks_Pump_Room/setup 0x34A40
maps/offline/Govt/Govt_Waterworks_Purification_Room/setup 0x34C58
maps/offline/Govt/assets 0x34E90
maps/offline/DenTown/exit 0x35C9C
maps/offline/DenTown/setup 0x35EDC
maps/offline/DenTown/directory 0x35FA4
maps/offline/DenTown/DenTown_Center/setup 0x36150
maps/offline/DenTown/DenTown_Station/setup 0x36C8C
maps/offline/DenTown/DenTown_Block_1/setup 0x36F24
maps/offline/DenTown/DenTown_Block_2/setup 0x375B4
maps/offline/DenTown/DenTown_Block_3/setup 0x37B04
maps/offline/DenTown/DenTown_Block_4/setup 0x381C8
maps/offline/DenTown/DenTown_Miyu_Antiques/setup 0x38710
maps/offline/DenTown/DenTown_Summer_School/setup 0x38AF8
maps/offline/DenTown/assets 0x38DAC
maps/offline/SciLab/exit 0x3B924
maps/offline/SciLab/anim 0x3B9DC
maps/offline/SciLab/setup 0x3BD90
maps/offline/SciLab/directory 0x3BE28
maps/offline/SciLab/SciLab_Restaurant_Hallway/setup 0x3BF4C
maps/offline/SciLab/SciLab_Restaurant/setup 0x3C234
maps/offline/SciLab/SciLab_Power_Plant_Hallway/setup 0x3C538
maps/offline/SciLab/SciLab_Power_Plant/setup 0x3C828
maps/offline/SciLab/SciLab_Power_Plant_Control_Room/setup 0x3CB70
maps/offline/SciLab/SciLab_Generator_Room/setup 0x3CF14
maps/offline/SciLab/assets 0x3D1EC
maps/offline/WWW/exit 0x3D6A4
maps/offline/WWW/anim 0x3D7AC
maps/offline/WWW/setup 0x3D87C
maps/offline/WWW/directory 0x3D908
maps/offline/WWW/WWW_Base/setup 0x3DA30
maps/offline/WWW/WWW_Wily_Lab/setup 0x3DCD4
maps/offline/WWW/WWW_Rocket_Hangar/setup 0x3E11C
maps/offline/WWW/WWW_Passage_1/setup 0x3E260
maps/offline/WWW/WWW_Passage_2/setup 0x3E3DC
maps/offline/WWW/WWW_Passage_3/setup 0x3E510
maps/offline/WWW/assets 0x3E5D0
maps/online/School_Comp/exit 0x3EB74
maps/online/School_Comp/anim 0x3EC68
maps/online/School_Comp/setup 0x40508
maps/online/School_Comp/directory 0x405AC
maps/online/School_Comp/School_Comp_1/setup 0x40670
maps/online/School_Comp/School_Comp_2/setup 0x40BF8
maps/online/School_Comp/School_Comp_3/setup 0x41060
maps/online/School_Comp/School_Comp_4/setup 0x414C4
maps/online/School_Comp/School_Comp_5/setup 0x41840
maps/online/School_Comp/assets 0x41B3C
maps/online/Oven_Comp/exit 0x423C0
maps/online/Oven_Comp/anim 0x423F8
maps/online/Oven_Comp/setup 0x43148
maps/online/Oven_Comp/directory 0x431D0
maps/online/Oven_Comp/Oven_Comp_1/setup_S0 0x4324C
maps/online/Oven_Comp/Oven_Comp_2/setup_S0 0x4365C
maps/online/Oven_Comp/Oven_Comp_1/setup_S2 0x43874
maps/online/Oven_Comp/Oven_Comp_2/setup_S2 0x4395C
maps/online/Oven_Comp/assets 0x43A38
maps/online/Waterworks_Comp/exit 0x43F58
maps/online/Waterworks_Comp/anim 0x44030
maps/online/Waterworks_Comp/setup 0x456A0
maps/online/Waterworks_Comp/directory 0x457B0
maps/online/Waterworks_Comp/Waterworks_Comp_1/setup 0x458C4
maps/online/Waterworks_Comp/Waterworks_Comp_2/setup 0x45CD0
maps/online/Waterworks_Comp/Waterworks_Comp_3/setup 0x45FE4
maps/online/Waterworks_Comp/Waterworks_Comp_4/setup 0x462BC
maps/online/Waterworks_Comp/Waterworks_Comp_5/setup 0x4657C
maps/online/Waterworks_Comp/Waterworks_Comp_6/setup 0x46824
maps/online/Waterworks_Comp/assets 0x46BC8
maps/online/Traffic_Light_Comp/exit 0x473A0
maps/online/Traffic_Light_Comp/anim 0x473B4
maps/online/Traffic_Light_Comp/setup 0x47E5C
maps/online/Traffic_Light_Comp/directory 0x47EF8
maps/online/Traffic_Light_Comp/Traffic_Light_Comp_1/setup 0x4800C
maps/online/Traffic_Light_Comp/Traffic_Light_Comp_2/setup 0x482D0
maps/online/Traffic_Light_Comp/Traffic_Light_Comp_3/setup 0x485B4
maps/online/Traffic_Light_Comp/Traffic_Light_Comp_4/setup 0x48898
maps/online/Traffic_Light_Comp/Traffic_Light_Comp_5/setup 0x48B5C
maps/online/Traffic_Light_Comp/assets 0x490DC
maps/online/Power_Plant_Comp/exit 0x49B38
maps/online/Power_Plant_Comp/anim 0x49BA8
maps/online/Power_Plant_Comp/setup 0x4A118
maps/online/Power_Plant_Comp/directory 0x4A1BC
maps/online/Power_Plant_Comp/Power_Plant_Comp_1/setup 0x4A2C8
maps/online/Power_Plant_Comp/Power_Plant_Comp_2/setup 0x4A778
maps/online/Power_Plant_Comp/Power_Plant_Comp_3/setup 0x4AB40
maps/online/Power_Plant_Comp/Power_Plant_Comp_4/setup 0x4B010
maps/online/Power_Plant_Comp/assets 0x4B5C0
maps/online/WWW_Comp/exit 0x4CC80
maps/online/WWW_Comp/anim 0x4CC98
maps/online/WWW_Comp/setup 0x4D178
maps/online/WWW_Comp/directory 0x4D22C
maps/online/WWW_Comp/WWW_Comp_1/setup 0x4D2A8
maps/online/WWW_Comp/WWW_Comp_2/setup 0x4D538
maps/online/WWW_Comp/WWW_Comp_3/setup 0x4D9CC
maps/online/WWW_Comp/WWW_Comp_4/setup 0x4DB1C
maps/online/WWW_Comp/WWW_Comp_5/setup 0x4DC58
maps/online/WWW_Comp/Rocket_Comp/setup 0x4DE18
maps/online/WWW_Comp/assets 0x4DF70
maps/online/ACDC_HP/exit 0x4ED58
maps/online/ACDC_HP/anim 0x4EDA8
maps/online/ACDC_HP/setup 0x4EEF8
maps/online/ACDC_HP/directory 0x4EFA0
maps/online/ACDC_HP/ACDC_Lan_PC/setup 0x4F00C
maps/online/ACDC_HP/ACDC_Mayl_PC/setup 0x4F108
maps/online/ACDC_HP/ACDC_Yai_PC/setup 0x4F244
maps/online/ACDC_HP/ACDC_Dex_PC/setup 0x4F360
maps/online/ACDC_HP/assets 0x4F47C
maps/online/Govt_HP/exit 0x4F700
maps/online/Govt_HP/anim 0x4F728
maps/online/Govt_HP/setup 0x4F7F8
maps/online/Govt_HP/directory 0x4F8B4
maps/online/Govt_HP/Govt_Yuichiro_PC/setup 0x4F958
maps/online/Govt_HP/Govt_Lunch_Cart_Comp/setup 0x4FA78
maps/online/Govt_HP/assets 0x4FB8C
maps/online/DenTown_HP/exit 0x4FD50
maps/online/DenTown_HP/anim 0x4FD64
maps/online/DenTown_HP/setup 0x4FDD4
maps/online/DenTown_HP/directory 0x4FE64
maps/online/DenTown_HP/DenTown_Antique_Comp/setup 0x4FEB8
maps/online/DenTown_HP/assets 0x4FFCC
maps/online/SciLab_HP/exit 0x5004C
maps/online/SciLab_HP/anim 0x50060
maps/online/SciLab_HP/setup 0x50090
maps/online/SciLab_HP/directory 0x50120
maps/online/SciLab_HP/SciLab_Fish_Stand_Comp/setup 0x50174
maps/online/SciLab_HP/assets 0x50288
maps/online/Other_Comp/exit 0x50308
maps/online/Other_Comp/anim 0x5033C
maps/online/Other_Comp/setup 0x503CC
maps/online/Other_Comp/directory 0x5048C
maps/online/Other_Comp/Other_Doghouse_Comp/setup 0x50540
maps/online/Other_Comp/Other_Servbot_Comp/setup 0x505D8
maps/online/Other_Comp/Other_New_Game_Machine_Comp/setup 0x50670
maps/online/Other_Comp/Other_Telephone_Comp/setup 0x50708
maps/online/Other_Comp/Other_Car_Comp/setup 0x507A0
maps/online/Other_Comp/Other_Waterworks_Vending_Machine/setup 0x50838
maps/online/Other_Comp/Other_Lobby_TV_Comp/setup 0x508EC
maps/online/Other_Comp/Other_Large_Monitor_Comp/setup 0x50984
maps/online/Other_Comp/Other_Control_Equipment_Comp/setup 0x50A1C
maps/online/Other_Comp/Other_SciLab_Vending_Machine/setup 0x50AB4
maps/online/Other_Comp/Other_Recycled_PET_Comp/setup 0x50B4C
maps/online/Other_Comp/Other_Big_Vase_Comp/setup 0x50BE4
maps/online/Other_Comp/Other_Blackboard_Comp/setup 0x50C7C
maps/online/Other_Comp/assets 0x50D14
maps/online/Internet/exit 0x512F8
maps/online/Internet/anim 0x515C8
maps/online/Internet/setup 0x51CF0
maps/online/Internet/directory 0x51E18
maps/online/Internet/Internet_1/setup 0x51EE4
maps/online/Internet/Internet_2/setup 0x52290
maps/online/Internet/Internet_3/setup 0x52620
maps/online/Internet/Internet_4/setup 0x528F4
maps/online/Internet/Undernet_1/setup 0x52B2C
maps/online/Internet/Undernet_2/setup 0x52D04
maps/online/Internet/Undernet_3/setup 0x52E84
maps/online/Internet/Undernet_4/setup 0x52FB4
maps/online/Internet/Undernet_5/setup 0x5311C
maps/online/Internet/Undernet_6/setup 0x53258
maps/online/Internet/Undernet_7/setup 0x534DC
maps/online/Internet/Undernet_8/setup 0x536B8
maps/online/Internet/Undernet_9/setup 0x537B4
maps/online/Internet/Undernet_10/setup 0x53904
maps/online/Internet/Undernet_11/setup 0x53B40
maps/online/Internet/Undernet_12/setup 0x53D2C
maps/online/Internet/assets 0x53E14
player_location_handler     0x55440
routine/actor               0x5610C
routine/field_obstacle      0x56234
routine/poison_drain        0x562BC
routine/player              0x56300
routine/woodman             0x58BF0
routine/canodumb            0x59910
routine/fireman             0x59C74
routine/mettaur             0x5A550
routine/vulgear             0x5AB24
routine/mayl                0x5B02C
routine/lan_bed             0x5B154
routine/brown_car           0x5B1FC
routine/beetank             0x5B468
routine/spooky              0x5B8A8
routine/gutsman             0x5C0CC
routine/hardhead            0x5C7A4
routine/fishy               0x5CAD4
routine/numberman           0x5D1DC
routine/swordy              0x5D778
routine/puffy               0x5E084
routine/flappy              0x5E350
routine/piranha             0x5E948
routine/cloudy              0x5EEC8
routine/stoneman            0x5F3B0
routine/fireman_chip        0x5F998
routine/numberman_chip      0x5FB98
routine/floshell            0x5FD94
routine/gutsman_chip        0x603B4
routine/handy               0x605CC
routine/iceman              0x60BF8
routine/coldbear            0x61530
routine/iceman_chip         0x61A64
routine/stoneman_chip       0x61C70
routine/jelly               0x61F04
routine/ratty               0x623A4
routine/popper              0x628A8
routine/skullman            0x62CB8
routine/colorman            0x633C0
routine/mini_colorman       0x639D4
routine/elecman             0x63DD4
routine/protoman            0x64658
routine/miney               0x65074
routine/ammonicule          0x6538C
routine/sharkman            0x65874
routine/prog                0x66174
routine/billy               0x665E4
routine/megalian            0x66A08
routine/remobit             0x6700C
routine/bombman             0x67228
routine/skullman_chip       0x67970
routine/roll_chip           0x67BAC
routine/bigstraight         0x67F54
routine/gutsshoot_gutsman   0x680FC
routine/gutsshoot_megaman   0x6824C
routine/fanner              0x68410
routine/candevil            0x686E4
routine/deathstorm          0x68AC4
routine/mosqurito           0x68D2C
entity/effect/quickeffect   0x7B474
battle_rank                 0x7D5B0
enemy_drop                  0x7D80E
npc_command                 0x82104
battle/screendim/util       0x982B8
battle/screendim/recover    0x9832C
swi                         0x9DF50
sound_data                  0xA111C
interrupt_handler           0x180000
oam_far                     0x180564
text_far                    0x1808D8
screen_far                  0x180178
asset_1E0000                0x1E0000
asset_text                  0x69D0FC
asset_796FD4                0x796FD4
asset_7ABB10                0x7ABB10
